Código do Nível Geográfico;Nível Geográfico;Código do Item Geográfico;Item Geográfico;Ordem Geográfica;Código do Item Temporal;Nível Temporal;Item Temporal;Residência em 31/07/2005, município;Residência em 31/07/2005, município (código);Residência em 31/07/2005, município (ordem);Frequência;Observações
9000;País;76;Brasil;1;2010;8030;31/07/2010;ADRIANÓPOLIS;4100202;4100202;849;188
9000;País;76;Brasil;1;2010;8030;31/07/2010;AGUDOS DO SUL;4100301;4100301;900;120
9000;País;76;Brasil;1;2010;8030;31/07/2010;ALMIRANTE TAMANDARÉ;4100400;4100400;5852;588
9000;País;76;Brasil;1;2010;8030;31/07/2010;ARAUCÁRIA;4101804;4101804;7565;838
9000;País;76;Brasil;1;2010;8030;31/07/2010;BALSA NOVA;4102307;4102307;682;82
9000;País;76;Brasil;1;2010;8030;31/07/2010;BOCAIÚVA DO SUL;4103107;4103107;796;128
9000;País;76;Brasil;1;2010;8030;31/07/2010;CAMPINA GRANDE DO SUL;4104006;4104006;3198;405
9000;País;76;Brasil;1;2010;8030;31/07/2010;CAMPO DO TENENTE;4104105;4104105;695;116
9000;País;76;Brasil;1;2010;8030;31/07/2010;CAMPO LARGO;4104204;4104204;7132;833
9000;País;76;Brasil;1;2010;8030;31/07/2010;CAMPO MAGRO;4104253;4104253;1758;175
9000;País;76;Brasil;1;2010;8030;31/07/2010;CERRO AZUL;4105201;4105201;1601;204
9000;País;76;Brasil;1;2010;8030;31/07/2010;COLOMBO;4105805;4105805;12185;1311
9000;País;76;Brasil;1;2010;8030;31/07/2010;CONTENDA;4106209;4106209;1037;144
9000;País;76;Brasil;1;2010;8030;31/07/2010;CURITIBA;4106902;4106902;204872;20527
9000;País;76;Brasil;1;2010;8030;31/07/2010;FAZENDA RIO GRANDE;4107652;4107652;6078;638
9000;País;76;Brasil;1;2010;8030;31/07/2010;ITAPERUÇU;4111258;4111258;746;76
9000;País;76;Brasil;1;2010;8030;31/07/2010;LAPA;4113205;4113205;3009;335
9000;País;76;Brasil;1;2010;8030;31/07/2010;MANDIRITUBA;4114302;4114302;1506;181
9000;País;76;Brasil;1;2010;8030;31/07/2010;PIÊN;4119103;4119103;1052;157
9000;País;76;Brasil;1;2010;8030;31/07/2010;PINHAIS;4119152;4119152;10274;1059
9000;País;76;Brasil;1;2010;8030;31/07/2010;PIRAQUARA;4119509;4119509;6121;637
9000;País;76;Brasil;1;2010;8030;31/07/2010;QUATRO BARRAS;4120804;4120804;1778;284
9000;País;76;Brasil;1;2010;8030;31/07/2010;QUITANDINHA;4121208;4121208;743;114
9000;País;76;Brasil;1;2010;8030;31/07/2010;RIO BRANCO DO SUL;4122206;4122206;1983;202
9000;País;76;Brasil;1;2010;8030;31/07/2010;RIO NEGRO;4122305;4122305;3109;341
9000;País;76;Brasil;1;2010;8030;31/07/2010;SÃO JOSÉ DOS PINHAIS;4125506;4125506;17570;1874
9000;País;76;Brasil;1;2010;8030;31/07/2010;TIJUCAS DO SUL;4127601;4127601;1079;139
9000;País;76;Brasil;1;2010;8030;31/07/2010;TUNAS DO PARANÁ;4127882;4127882;1070;215
9000;País;76;Brasil;1;2010;8030;31/07/2010;DOUTOR ULYSSES;4128633;4128633;509;81
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;2;2010;8030;31/07/2010;ADRIANÓPOLIS;4100202;4100202;640;149
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;2;2010;8030;31/07/2010;AGUDOS DO SUL;4100301;4100301;669;88
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;2;2010;8030;31/07/2010;ALMIRANTE TAMANDARÉ;4100400;4100400;5122;504
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;2;2010;8030;31/07/2010;ARAUCÁRIA;4101804;4101804;5712;564
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;2;2010;8030;31/07/2010;BALSA NOVA;4102307;4102307;557;67
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;2;2010;8030;31/07/2010;BOCAIÚVA DO SUL;4103107;4103107;722;113
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;2;2010;8030;31/07/2010;CAMPINA GRANDE DO SUL;4104006;4104006;2870;343
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;2;2010;8030;31/07/2010;CAMPO DO TENENTE;4104105;4104105;458;84
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;2;2010;8030;31/07/2010;CAMPO LARGO;4104204;4104204;5477;599
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;2;2010;8030;31/07/2010;CAMPO MAGRO;4104253;4104253;1674;162
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;2;2010;8030;31/07/2010;CERRO AZUL;4105201;4105201;1455;186
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;2;2010;8030;31/07/2010;COLOMBO;4105805;4105805;10325;1050
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;2;2010;8030;31/07/2010;CONTENDA;4106209;4106209;868;116
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;2;2010;8030;31/07/2010;CURITIBA;4106902;4106902;112036;9685
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;2;2010;8030;31/07/2010;FAZENDA RIO GRANDE;4107652;4107652;5564;559
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;2;2010;8030;31/07/2010;ITAPERUÇU;4111258;4111258;703;69
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;2;2010;8030;31/07/2010;LAPA;4113205;4113205;2292;240
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;2;2010;8030;31/07/2010;MANDIRITUBA;4114302;4114302;1361;159
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;2;2010;8030;31/07/2010;PIÊN;4119103;4119103;532;90
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;2;2010;8030;31/07/2010;PINHAIS;4119152;4119152;9228;919
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;2;2010;8030;31/07/2010;PIRAQUARA;4119509;4119509;5477;552
