Código do Nível Geográfico;Nível Geográfico;Código do Item Geográfico;Item Geográfico;Ordem Geográfica;Código do Item Temporal;Nível Temporal;Item Temporal;Residência em 31/07/2005, UF;Residência em 31/07/2005, UF (código);Residência em 31/07/2005, UF (ordem);Residência em 31/07/2005, UF, município ou país estrangeiro;Residência em 31/07/2005, UF, município ou país estrangeiro (código);Residência em 31/07/2005, UF, município ou país estrangeiro (ordem);Frequência;Observações
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;AC, Acre;12;1;Unidade da Federação / Município;1;1;151;8
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;AL, Alagoas;27;2;Unidade da Federação / Município;1;1;693;53
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;AP, Amapá;16;3;Unidade da Federação / Município;1;1;X;X
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;AM, Amazonas;13;4;Unidade da Federação / Município;1;1;480;31
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;BA, Bahia;29;5;Unidade da Federação / Município;1;1;3315;233
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;CE, Ceara;23;6;Unidade da Federação / Município;1;1;1225;81
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;DF, Distrito Federal;53;7;Unidade da Federação / Município;1;1;1604;98
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;ES, Espirito Santo;32;8;Unidade da Federação / Município;1;1;697;51
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;GO, Goias;52;9;Unidade da Federação / Município;1;1;899;61
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;MA, Maranhão;21;10;Unidade da Federação / Município;1;1;592;55
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;MT, Mato Grosso;51;11;Unidade da Federação / Município;1;1;3199;239
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;MS, Mato Grosso do Sul;50;12;Unidade da Federação / Município;1;1;2877;205
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;MG, Minas Gerais;31;13;Unidade da Federação / Município;1;1;4867;336
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;PA, Para;15;14;Unidade da Federação / Município;1;1;1302;94
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;PB, Paraíba;25;15;Unidade da Federação / Município;1;1;1051;71
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;PE, Pernambuco;26;17;Unidade da Federação / Município;1;1;1470;112
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;PI, Piauí;22;18;Unidade da Federação / Município;1;1;540;38
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;RJ, Rio de Janeiro;33;19;Unidade da Federação / Município;1;1;4637;297
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;RN, Rio Grande do Norte;24;20;Unidade da Federação / Município;1;1;353;22
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;RS, Rio Grande do Sul;43;21;Unidade da Federação / Município;1;1;9356;658
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;RO, Rondônia;11;22;Unidade da Federação / Município;1;1;2019;134
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;SC, Santa Catarina;42;24;Unidade da Federação / Município;1;1;22519;1792
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;SP, São Paulo;35;25;Unidade da Federação / Município;1;1;36152;2656
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;SE, Sergipe;28;26;Unidade da Federação / Município;1;1;309;20
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;TO, Tocantins;17;27;Unidade da Federação / Município;1;1;141;7
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010; Não Sabe UF;99;28;Unidade da Federação / Município;1;1;X;X
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;Ignorado;88;88;Unidade da Federação / Município;1;1;17498;1462
9235;Município (2010);4100202;ADRIANÓPOLIS;2;2010;8030;31/07/2010;ES, Espirito Santo;32;8;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4100202;ADRIANÓPOLIS;2;2010;8030;31/07/2010;GO, Goias;52;9;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4100202;ADRIANÓPOLIS;2;2010;8030;31/07/2010;MG, Minas Gerais;31;13;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4100202;ADRIANÓPOLIS;2;2010;8030;31/07/2010;SP, São Paulo;35;25;Unidade da Federação / Município;1;1;104;35
9235;Município (2010);4100202;ADRIANÓPOLIS;2;2010;8030;31/07/2010;Ignorado;88;88;Unidade da Federação / Município;1;1;26;8
9235;Município (2010);4100301;AGUDOS DO SUL;3;2010;8030;31/07/2010;MS, Mato Grosso do Sul;50;12;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4100301;AGUDOS DO SUL;3;2010;8030;31/07/2010;SC, Santa Catarina;42;24;Unidade da Federação / Município;1;1;142;25
9235;Município (2010);4100301;AGUDOS DO SUL;3;2010;8030;31/07/2010;SP, São Paulo;35;25;Unidade da Federação / Município;1;1;50;9
