Código do Nível Geográfico;Nível Geográfico;Código do Item Geográfico;Item Geográfico;Ordem Geográfica;Código do Item Temporal;Nível Temporal;Item Temporal;Residência em 31/07/2005, UF, município ou país estrangeiro;Residência em 31/07/2005, UF, município ou país estrangeiro (código);Residência em 31/07/2005, UF, município ou país estrangeiro (ordem);Frequência;Observações
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;País estrangeiro;2;2;8857;565
9235;Município (2010);4100400;ALMIRANTE TAMANDARÉ;4;2010;8030;31/07/2010;País estrangeiro;2;2;73;9
9235;Município (2010);4101200;ANTONINA;5;2010;8030;31/07/2010;País estrangeiro;2;2;X;X
9235;Município (2010);4101804;ARAUCÁRIA;6;2010;8030;31/07/2010;País estrangeiro;2;2;84;7
9235;Município (2010);4102307;BALSA NOVA;7;2010;8030;31/07/2010;País estrangeiro;2;2;X;X
9235;Município (2010);4103107;BOCAIÚVA DO SUL;8;2010;8030;31/07/2010;País estrangeiro;2;2;58;11
9235;Município (2010);4104006;CAMPINA GRANDE DO SUL;9;2010;8030;31/07/2010;País estrangeiro;2;2;67;8
9235;Município (2010);4104204;CAMPO LARGO;11;2010;8030;31/07/2010;País estrangeiro;2;2;74;9
9235;Município (2010);4104253;CAMPO MAGRO;12;2010;8030;31/07/2010;País estrangeiro;2;2;X;X
9235;Município (2010);4105201;CERRO AZUL;13;2010;8030;31/07/2010;País estrangeiro;2;2;X;X
9235;Município (2010);4105805;COLOMBO;14;2010;8030;31/07/2010;País estrangeiro;2;2;341;31
9235;Município (2010);4106209;CONTENDA;15;2010;8030;31/07/2010;País estrangeiro;2;2;X;X
9235;Município (2010);4106902;CURITIBA;16;2010;8030;31/07/2010;País estrangeiro;2;2;6695;314
9235;Município (2010);4107652;FAZENDA RIO GRANDE;17;2010;8030;31/07/2010;País estrangeiro;2;2;50;6
9235;Município (2010);4109500;GUARAQUEÇABA;18;2010;8030;31/07/2010;País estrangeiro;2;2;X;X
9235;Município (2010);4109609;GUARATUBA;19;2010;8030;31/07/2010;País estrangeiro;2;2;X;X
9235;Município (2010);4113205;LAPA;21;2010;8030;31/07/2010;País estrangeiro;2;2;X;X
9235;Município (2010);4114302;MANDIRITUBA;22;2010;8030;31/07/2010;País estrangeiro;2;2;X;X
9235;Município (2010);4115705;MATINHOS;23;2010;8030;31/07/2010;País estrangeiro;2;2;180;19
9235;Município (2010);4116208;MORRETES;24;2010;8030;31/07/2010;País estrangeiro;2;2;X;X
9235;Município (2010);4118204;PARANAGUÁ;25;2010;8030;31/07/2010;País estrangeiro;2;2;136;12
9235;Município (2010);4119103;PIÊN;26;2010;8030;31/07/2010;País estrangeiro;2;2;X;X
9235;Município (2010);4119152;PINHAIS;27;2010;8030;31/07/2010;País estrangeiro;2;2;284;33
9235;Município (2010);4119509;PIRAQUARA;28;2010;8030;31/07/2010;País estrangeiro;2;2;144;14
9235;Município (2010);4119954;PONTAL DO PARANÁ;29;2010;8030;31/07/2010;País estrangeiro;2;2;76;16
9235;Município (2010);4120804;QUATRO BARRAS;31;2010;8030;31/07/2010;País estrangeiro;2;2;97;19
9235;Município (2010);4121208;QUITANDINHA;32;2010;8030;31/07/2010;País estrangeiro;2;2;X;X
9235;Município (2010);4122305;RIO NEGRO;34;2010;8030;31/07/2010;País estrangeiro;2;2;X;X
9235;Município (2010);4125506;SÃO JOSÉ DOS PINHAIS;35;2010;8030;31/07/2010;País estrangeiro;2;2;285;27
9235;Município (2010);4127601;TIJUCAS DO SUL;36;2010;8030;31/07/2010;País estrangeiro;2;2;X;X
