Código do Nível Geográfico;Nível Geográfico;Código do Item Geográfico;Item Geográfico;Ordem Geográfica;Código do Item Temporal;Nível Temporal;Item Temporal;Idade calculada, anos, classe;Idade calculada, anos, classe (código);Idade calculada, anos, classe (ordem);Sexo;Sexo (código);Sexo (ordem);Residência em 31/07/2005, município;Residência em 31/07/2005, município (código);Residência em 31/07/2005, município (ordem);Frequência;Observações
9031;Grande região;1;Região Norte;1;2010;8030;31/07/2010;De 5 a 9 anos;2;2;Masculino;1;1;ALMIRANTE TAMANDARÉ;4100400;4100400;X;X
9031;Grande região;1;Região Norte;1;2010;8030;31/07/2010;De 5 a 9 anos;2;2;Masculino;1;1;CURITIBA;4106902;4106902;88;8
9031;Grande região;1;Região Norte;1;2010;8030;31/07/2010;De 5 a 9 anos;2;2;Masculino;1;1;PINHAIS;4119152;4119152;X;X
9031;Grande região;1;Região Norte;1;2010;8030;31/07/2010;De 5 a 9 anos;2;2;Feminino;2;2;CURITIBA;4106902;4106902;103;10
9031;Grande região;1;Região Norte;1;2010;8030;31/07/2010;De 5 a 9 anos;2;2;Feminino;2;2;PINHAIS;4119152;4119152;X;X
9031;Grande região;1;Região Norte;1;2010;8030;31/07/2010;De 10 a 14 anos;3;3;Masculino;1;1;ALMIRANTE TAMANDARÉ;4100400;4100400;X;X
9031;Grande região;1;Região Norte;1;2010;8030;31/07/2010;De 10 a 14 anos;3;3;Masculino;1;1;CURITIBA;4106902;4106902;76;6
9031;Grande região;1;Região Norte;1;2010;8030;31/07/2010;De 10 a 14 anos;3;3;Feminino;2;2;CURITIBA;4106902;4106902;110;12
9031;Grande região;1;Região Norte;1;2010;8030;31/07/2010;De 15 a 17 anos;4;4;Masculino;1;1;CURITIBA;4106902;4106902;47;6
9031;Grande região;1;Região Norte;1;2010;8030;31/07/2010;De 15 a 17 anos;4;4;Feminino;2;2;CURITIBA;4106902;4106902;49;7
9031;Grande região;1;Região Norte;1;2010;8030;31/07/2010;De 18 a 19 anos;5;5;Masculino;1;1;CURITIBA;4106902;4106902;X;X
9031;Grande região;1;Região Norte;1;2010;8030;31/07/2010;De 18 a 19 anos;5;5;Feminino;2;2;CAMPO LARGO;4104204;4104204;X;X
9031;Grande região;1;Região Norte;1;2010;8030;31/07/2010;De 18 a 19 anos;5;5;Feminino;2;2;CURITIBA;4106902;4106902;93;8
9031;Grande região;1;Região Norte;1;2010;8030;31/07/2010;De 20 a 24 anos;6;6;Masculino;1;1;CURITIBA;4106902;4106902;89;8
9031;Grande região;1;Região Norte;1;2010;8030;31/07/2010;De 20 a 24 anos;6;6;Feminino;2;2;CURITIBA;4106902;4106902;102;12
9031;Grande região;1;Região Norte;1;2010;8030;31/07/2010;De 20 a 24 anos;6;6;Feminino;2;2;SÃO JOSÉ DOS PINHAIS;4125506;4125506;X;X
9031;Grande região;1;Região Norte;1;2010;8030;31/07/2010;De 25 a 29 anos;7;7;Masculino;1;1;CURITIBA;4106902;4106902;184;18
