Código do Nível Geográfico;Nível Geográfico;Código do Item Geográfico;Item Geográfico;Ordem Geográfica;Código do Item Temporal;Nível Temporal;Item Temporal;Residência em 31/07/2005, município;Residência em 31/07/2005, município (código);Residência em 31/07/2005, município (ordem);Idade calculada, anos, classe;Idade calculada, anos, classe (código);Idade calculada, anos, classe (ordem);Sexo;Sexo (código);Sexo (ordem);Frequência;Observações
9235;Município (2010);4119103;PIÊN;4;2010;8030;31/07/2010;AGUDOS DO SUL;4100301;4100301;De 35 a 39 anos;9;9;Feminino;2;2;X;X
9235;Município (2010);4119103;PIÊN;4;2010;8030;31/07/2010;AGUDOS DO SUL;4100301;4100301;De 18 a 19 anos;5;5;Masculino;1;1;X;X
9235;Município (2010);4119103;PIÊN;4;2010;8030;31/07/2010;AGUDOS DO SUL;4100301;4100301;De 20 a 24 anos;6;6;Masculino;1;1;X;X
9235;Município (2010);4119103;PIÊN;4;2010;8030;31/07/2010;AGUDOS DO SUL;4100301;4100301;De 60 a 64 anos;14;14;Masculino;1;1;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;3;2010;8030;31/07/2010;ARAUCÁRIA;4101804;4101804;De 25 a 29 anos;7;7;Feminino;2;2;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;3;2010;8030;31/07/2010;ARAUCÁRIA;4101804;4101804;De 35 a 39 anos;9;9;Feminino;2;2;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;3;2010;8030;31/07/2010;ARAUCÁRIA;4101804;4101804;De 40 a 44 anos;10;10;Feminino;2;2;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;3;2010;8030;31/07/2010;ARAUCÁRIA;4101804;4101804;De 40 a 44 anos;10;10;Masculino;1;1;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;3;2010;8030;31/07/2010;ARAUCÁRIA;4101804;4101804;De 45 a 49 anos;11;11;Masculino;1;1;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;3;2010;8030;31/07/2010;CAMPO DO TENENTE;4104105;4104105;De 10 a 14 anos;3;3;Feminino;2;2;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;3;2010;8030;31/07/2010;CAMPO DO TENENTE;4104105;4104105;De 15 a 17 anos;4;4;Feminino;2;2;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;3;2010;8030;31/07/2010;CAMPO DO TENENTE;4104105;4104105;De 20 a 24 anos;6;6;Feminino;2;2;X;X
9235;Município (2010);4122305;RIO NEGRO;5;2010;8030;31/07/2010;CAMPO DO TENENTE;4104105;4104105;De 20 a 24 anos;6;6;Feminino;2;2;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;3;2010;8030;31/07/2010;CAMPO DO TENENTE;4104105;4104105;De 25 a 29 anos;7;7;Feminino;2;2;X;X
9235;Município (2010);4122305;RIO NEGRO;5;2010;8030;31/07/2010;CAMPO DO TENENTE;4104105;4104105;De 25 a 29 anos;7;7;Feminino;2;2;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;3;2010;8030;31/07/2010;CAMPO DO TENENTE;4104105;4104105;De 30 a 34 anos;8;8;Feminino;2;2;20;6
9235;Município (2010);4104105;CAMPO DO TENENTE;3;2010;8030;31/07/2010;CAMPO DO TENENTE;4104105;4104105;De 35 a 39 anos;9;9;Feminino;2;2;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;3;2010;8030;31/07/2010;CAMPO DO TENENTE;4104105;4104105;De 40 a 44 anos;10;10;Feminino;2;2;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;3;2010;8030;31/07/2010;CAMPO DO TENENTE;4104105;4104105;De 5 a 9 anos;2;2;Feminino;2;2;X;X
