Código do Nível Geográfico;Nível Geográfico;Código do Item Geográfico;Item Geográfico;Ordem Geográfica;Código do Item Temporal;Nível Temporal;Item Temporal;Residência em 31/07/2005, UF, município ou país estrangeiro;Residência em 31/07/2005, UF, município ou país estrangeiro (código);Residência em 31/07/2005, UF, município ou país estrangeiro (ordem);Idade calculada, anos, classe;Idade calculada, anos, classe (código);Idade calculada, anos, classe (ordem);Sexo;Sexo (código);Sexo (ordem);Frequência;Observações
9320;Divisão de Região Metropolitana, colar, etc;2300;RM Curitiba;1;2010;8030;31/07/2010;País estrangeiro;2;2;De 5 a 9 anos;2;2;Masculino;1;1;331;27
9320;Divisão de Região Metropolitana, colar, etc;2300;RM Curitiba;1;2010;8030;31/07/2010;País estrangeiro;2;2;De 5 a 9 anos;2;2;Feminino;2;2;305;21
9320;Divisão de Região Metropolitana, colar, etc;2300;RM Curitiba;1;2010;8030;31/07/2010;País estrangeiro;2;2;De 10 a 14 anos;3;3;Masculino;1;1;277;17
9320;Divisão de Região Metropolitana, colar, etc;2300;RM Curitiba;1;2010;8030;31/07/2010;País estrangeiro;2;2;De 10 a 14 anos;3;3;Feminino;2;2;253;20
9320;Divisão de Região Metropolitana, colar, etc;2300;RM Curitiba;1;2010;8030;31/07/2010;País estrangeiro;2;2;De 15 a 17 anos;4;4;Masculino;1;1;162;11
9320;Divisão de Região Metropolitana, colar, etc;2300;RM Curitiba;1;2010;8030;31/07/2010;País estrangeiro;2;2;De 15 a 17 anos;4;4;Feminino;2;2;122;9
9320;Divisão de Região Metropolitana, colar, etc;2300;RM Curitiba;1;2010;8030;31/07/2010;País estrangeiro;2;2;De 18 a 19 anos;5;5;Masculino;1;1;X;X
9320;Divisão de Região Metropolitana, colar, etc;2300;RM Curitiba;1;2010;8030;31/07/2010;País estrangeiro;2;2;De 18 a 19 anos;5;5;Feminino;2;2;X;X
9320;Divisão de Região Metropolitana, colar, etc;2300;RM Curitiba;1;2010;8030;31/07/2010;País estrangeiro;2;2;De 20 a 24 anos;6;6;Masculino;1;1;341;17
9320;Divisão de Região Metropolitana, colar, etc;2300;RM Curitiba;1;2010;8030;31/07/2010;País estrangeiro;2;2;De 20 a 24 anos;6;6;Feminino;2;2;511;27
9320;Divisão de Região Metropolitana, colar, etc;2300;RM Curitiba;1;2010;8030;31/07/2010;País estrangeiro;2;2;De 25 a 29 anos;7;7;Masculino;1;1;621;32
9320;Divisão de Região Metropolitana, colar, etc;2300;RM Curitiba;1;2010;8030;31/07/2010;País estrangeiro;2;2;De 25 a 29 anos;7;7;Feminino;2;2;572;33
