Código do Nível Geográfico;Nível Geográfico;Código do Item Geográfico;Item Geográfico;Ordem Geográfica;Código do Item Temporal;Nível Temporal;Item Temporal;Residência em 31/07/2005, UF, município ou país estrangeiro;Residência em 31/07/2005, UF, município ou país estrangeiro (código);Residência em 31/07/2005, UF, município ou país estrangeiro (ordem);Idade calculada, anos, classe;Idade calculada, anos, classe (código);Idade calculada, anos, classe (ordem);Sexo;Sexo (código);Sexo (ordem);Frequência;Observações
9320;Divisão de Região Metropolitana, colar, etc;2300;RM Curitiba;1;2010;8030;31/07/2010;Unidade da Federação / Município;1;1;De 5 a 9 anos;2;2;Masculino;1;1;4308;351
9320;Divisão de Região Metropolitana, colar, etc;2300;RM Curitiba;1;2010;8030;31/07/2010;Unidade da Federação / Município;1;1;De 5 a 9 anos;2;2;Feminino;2;2;4380;351
9320;Divisão de Região Metropolitana, colar, etc;2300;RM Curitiba;1;2010;8030;31/07/2010;Unidade da Federação / Município;1;1;De 10 a 14 anos;3;3;Masculino;1;1;3903;310
9320;Divisão de Região Metropolitana, colar, etc;2300;RM Curitiba;1;2010;8030;31/07/2010;Unidade da Federação / Município;1;1;De 10 a 14 anos;3;3;Feminino;2;2;3922;298
9320;Divisão de Região Metropolitana, colar, etc;2300;RM Curitiba;1;2010;8030;31/07/2010;Unidade da Federação / Município;1;1;De 15 a 17 anos;4;4;Masculino;1;1;2557;198
9320;Divisão de Região Metropolitana, colar, etc;2300;RM Curitiba;1;2010;8030;31/07/2010;Unidade da Federação / Município;1;1;De 15 a 17 anos;4;4;Feminino;2;2;2588;196
9320;Divisão de Região Metropolitana, colar, etc;2300;RM Curitiba;1;2010;8030;31/07/2010;Unidade da Federação / Município;1;1;De 18 a 19 anos;5;5;Masculino;1;1;2697;184
9320;Divisão de Região Metropolitana, colar, etc;2300;RM Curitiba;1;2010;8030;31/07/2010;Unidade da Federação / Município;1;1;De 18 a 19 anos;5;5;Feminino;2;2;3016;197
9320;Divisão de Região Metropolitana, colar, etc;2300;RM Curitiba;1;2010;8030;31/07/2010;Unidade da Federação / Município;1;1;De 20 a 24 anos;6;6;Masculino;1;1;8167;565
9320;Divisão de Região Metropolitana, colar, etc;2300;RM Curitiba;1;2010;8030;31/07/2010;Unidade da Federação / Município;1;1;De 20 a 24 anos;6;6;Feminino;2;2;8384;563
9320;Divisão de Região Metropolitana, colar, etc;2300;RM Curitiba;1;2010;8030;31/07/2010;Unidade da Federação / Município;1;1;De 25 a 29 anos;7;7;Masculino;1;1;7289;501
9320;Divisão de Região Metropolitana, colar, etc;2300;RM Curitiba;1;2010;8030;31/07/2010;Unidade da Federação / Município;1;1;De 25 a 29 anos;7;7;Feminino;2;2;7689;517
9320;Divisão de Região Metropolitana, colar, etc;2300;RM Curitiba;1;2010;8030;31/07/2010;Unidade da Federação / Município;1;1;De 30 a 34 anos;8;8;Masculino;1;1;6797;461
9320;Divisão de Região Metropolitana, colar, etc;2300;RM Curitiba;1;2010;8030;31/07/2010;Unidade da Federação / Município;1;1;De 30 a 34 anos;8;8;Feminino;2;2;7033;461
9320;Divisão de Região Metropolitana, colar, etc;2300;RM Curitiba;1;2010;8030;31/07/2010;Unidade da Federação / Município;1;1;De 35 a 39 anos;9;9;Masculino;1;1;4943;346
9320;Divisão de Região Metropolitana, colar, etc;2300;RM Curitiba;1;2010;8030;31/07/2010;Unidade da Federação / Município;1;1;De 35 a 39 anos;9;9;Feminino;2;2;5116;344
9320;Divisão de Região Metropolitana, colar, etc;2300;RM Curitiba;1;2010;8030;31/07/2010;Unidade da Federação / Município;1;1;De 40 a 44 anos;10;10;Masculino;1;1;3783;270
9320;Divisão de Região Metropolitana, colar, etc;2300;RM Curitiba;1;2010;8030;31/07/2010;Unidade da Federação / Município;1;1;De 40 a 44 anos;10;10;Feminino;2;2;3200;228
9320;Divisão de Região Metropolitana, colar, etc;2300;RM Curitiba;1;2010;8030;31/07/2010;Unidade da Federação / Município;1;1;De 45 a 49 anos;11;11;Masculino;1;1;3007;201
9320;Divisão de Região Metropolitana, colar, etc;2300;RM Curitiba;1;2010;8030;31/07/2010;Unidade da Federação / Município;1;1;De 45 a 49 anos;11;11;Feminino;2;2;2966;187
9320;Divisão de Região Metropolitana, colar, etc;2300;RM Curitiba;1;2010;8030;31/07/2010;Unidade da Federação / Município;1;1;De 50 a 54 anos;12;12;Masculino;1;1;2523;166
9320;Divisão de Região Metropolitana, colar, etc;2300;RM Curitiba;1;2010;8030;31/07/2010;Unidade da Federação / Município;1;1;De 50 a 54 anos;12;12;Feminino;2;2;1694;117
9320;Divisão de Região Metropolitana, colar, etc;2300;RM Curitiba;1;2010;8030;31/07/2010;Unidade da Federação / Município;1;1;De 55 a 59 anos;13;13;Masculino;1;1;1320;93
9320;Divisão de Região Metropolitana, colar, etc;2300;RM Curitiba;1;2010;8030;31/07/2010;Unidade da Federação / Município;1;1;De 55 a 59 anos;13;13;Feminino;2;2;1308;88
9320;Divisão de Região Metropolitana, colar, etc;2300;RM Curitiba;1;2010;8030;31/07/2010;Unidade da Federação / Município;1;1;De 60 a 64 anos;14;14;Masculino;1;1;867;61
9320;Divisão de Região Metropolitana, colar, etc;2300;RM Curitiba;1;2010;8030;31/07/2010;Unidade da Federação / Município;1;1;De 60 a 64 anos;14;14;Feminino;2;2;1044;65
9320;Divisão de Região Metropolitana, colar, etc;2300;RM Curitiba;1;2010;8030;31/07/2010;Unidade da Federação / Município;1;1;De 65 a 69 anos;15;15;Masculino;1;1;648;43
9320;Divisão de Região Metropolitana, colar, etc;2300;RM Curitiba;1;2010;8030;31/07/2010;Unidade da Federação / Município;1;1;De 65 a 69 anos;15;15;Feminino;2;2;580;45
9320;Divisão de Região Metropolitana, colar, etc;2300;RM Curitiba;1;2010;8030;31/07/2010;Unidade da Federação / Município;1;1;De 70 a 74 anos;16;16;Masculino;1;1;540;35
9320;Divisão de Região Metropolitana, colar, etc;2300;RM Curitiba;1;2010;8030;31/07/2010;Unidade da Federação / Município;1;1;De 70 a 74 anos;16;16;Feminino;2;2;575;40
9320;Divisão de Região Metropolitana, colar, etc;2300;RM Curitiba;1;2010;8030;31/07/2010;Unidade da Federação / Município;1;1;De 75 a 79 anos;17;17;Masculino;1;1;166;12
9320;Divisão de Região Metropolitana, colar, etc;2300;RM Curitiba;1;2010;8030;31/07/2010;Unidade da Federação / Município;1;1;De 75 a 79 anos;17;17;Feminino;2;2;505;33
9320;Divisão de Região Metropolitana, colar, etc;2300;RM Curitiba;1;2010;8030;31/07/2010;Unidade da Federação / Município;1;1;De 80 a 84 anos;18;18;Masculino;1;1;126;10
9320;Divisão de Região Metropolitana, colar, etc;2300;RM Curitiba;1;2010;8030;31/07/2010;Unidade da Federação / Município;1;1;De 80 a 84 anos;18;18;Feminino;2;2;533;29
9320;Divisão de Região Metropolitana, colar, etc;2300;RM Curitiba;1;2010;8030;31/07/2010;Unidade da Federação / Município;1;1;De 85 a 89 anos;19;19;Masculino;1;1;99;7
9320;Divisão de Região Metropolitana, colar, etc;2300;RM Curitiba;1;2010;8030;31/07/2010;Unidade da Federação / Município;1;1;De 85 a 89 anos;19;19;Feminino;2;2;X;X
9320;Divisão de Região Metropolitana, colar, etc;2300;RM Curitiba;1;2010;8030;31/07/2010;Unidade da Federação / Município;1;1;De 90 a 94 anos;20;20;Masculino;1;1;X;X
