idade;Faixa Etária
0;0 a 4 anos
1;0 a 4 anos
2;0 a 4 anos
3;0 a 4 anos
4;0 a 4 anos
5;5 a 9 anos
6;5 a 9 anos
7;5 a 9 anos
8;5 a 9 anos
9;5 a 9 anos
10;10 a 14 anos
11;10 a 14 anos
12;10 a 14 anos
13;10 a 14 anos
14;10 a 14 anos
15;15 a 19 anos
16;15 a 19 anos
17;15 a 19 anos
18;15 a 19 anos
19;15 a 19 anos
20;20 a 29 anos
21;20 a 29 anos
22;20 a 29 anos
23;20 a 29 anos
24;20 a 29 anos
25;20 a 29 anos
26;20 a 29 anos
27;20 a 29 anos
28;20 a 29 anos
29;20 a 29 anos
30;30 a 39 anos
31;30 a 39 anos
32;30 a 39 anos
33;30 a 39 anos
34;30 a 39 anos
35;30 a 39 anos
36;30 a 39 anos
37;30 a 39 anos
38;30 a 39 anos
39;30 a 39 anos
40;40 a 49 anos
41;40 a 49 anos
42;40 a 49 anos
43;40 a 49 anos
44;40 a 49 anos
45;40 a 49 anos
46;40 a 49 anos
47;40 a 49 anos
48;40 a 49 anos
49;40 a 49 anos
50;50 a 59 anos
51;50 a 59 anos
52;50 a 59 anos
53;50 a 59 anos
54;50 a 59 anos
55;50 a 59 anos
56;50 a 59 anos
57;50 a 59 anos
58;50 a 59 anos
59;50 a 59 anos
60;60 a 69 anos
61;60 a 69 anos
62;60 a 69 anos
63;60 a 69 anos
64;60 a 69 anos
65;60 a 69 anos
66;60 a 69 anos
67;60 a 69 anos
68;60 a 69 anos
69;60 a 69 anos
70;70 a 79 anos
71;70 a 79 anos
72;70 a 79 anos
73;70 a 79 anos
74;70 a 79 anos
75;70 a 79 anos
76;70 a 79 anos
77;70 a 79 anos
78;70 a 79 anos
79;70 a 79 anos
80;80 anos e mais
81;80 anos e mais
82;80 anos e mais
83;80 anos e mais
84;80 anos e mais
85;80 anos e mais
86;80 anos e mais
87;80 anos e mais
88;80 anos e mais
89;80 anos e mais
90;80 anos e mais
91;80 anos e mais
92;80 anos e mais
93;80 anos e mais
94;80 anos e mais
95;80 anos e mais
96;80 anos e mais
97;80 anos e mais
98;80 anos e mais
99;80 anos e mais
100;80 anos e mais
101;80 anos e mais
102;80 anos e mais
103;80 anos e mais
104;80 anos e mais
105;80 anos e mais
106;80 anos e mais
107;80 anos e mais
108;80 anos e mais
109;80 anos e mais
110;80 anos e mais
111;80 anos e mais
112;80 anos e mais
113;80 anos e mais
114;80 anos e mais
115;80 anos e mais
116;80 anos e mais
117;80 anos e mais
118;80 anos e mais
119;80 anos e mais
