"Código do Nível Geográfico";"Nível Geográfico";"Código do Item Geográfico";"Item Geográfico";"Ordem Geográfica";"Código do Item Temporal";"Nível Temporal";"Item Temporal";"Emigrante, ano da partida, classe";"Emigrante, ano da partida, classe (código)";"Emigrante, ano da partida, classe (ordem)";"Emigrante, nascimento, ano";"Emigrante, nascimento, ano (código)";"Emigrante, nascimento, ano (ordem)";"Emigrante, sexo";"Emigrante, sexo (código)";"Emigrante, sexo (ordem)";"Frequência";"Observações"
"9233";"Mesorregião (2010)";"4110";"Metropolitana de Curitiba";"1";"2010";"8030";"31/07/2010";"1974";"106,00";"106,00";"1951";"83,00";"83,00";"Feminino";"2,00";"2,00";"X";"X"
"9233";"Mesorregião (2010)";"4110";"Metropolitana de Curitiba";"1";"2010";"8030";"31/07/2010";"1976";"108,00";"108,00";"1954";"86,00";"86,00";"Masculino";"1,00";"1,00";"X";"X"
"9233";"Mesorregião (2010)";"4110";"Metropolitana de Curitiba";"1";"2010";"8030";"31/07/2010";"1980";"112,00";"112,00";"1953";"85,00";"85,00";"Feminino";"2,00";"2,00";"X";"X"
"9233";"Mesorregião (2010)";"4110";"Metropolitana de Curitiba";"1";"2010";"8030";"31/07/2010";"1982";"114,00";"114,00";"1965";"97,00";"97,00";"Feminino";"2,00";"2,00";"X";"X"
"9233";"Mesorregião (2010)";"4110";"Metropolitana de Curitiba";"1";"2010";"8030";"31/07/2010";"1983";"115,00";"115,00";"1958";"90,00";"90,00";"Feminino";"2,00";"2,00";"X";"X"
"9233";"Mesorregião (2010)";"4110";"Metropolitana de Curitiba";"1";"2010";"8030";"31/07/2010";"1985";"117,00";"117,00";"1953";"85,00";"85,00";"Masculino";"1,00";"1,00";"X";"X"
"9233";"Mesorregião (2010)";"4110";"Metropolitana de Curitiba";"1";"2010";"8030";"31/07/2010";"1985";"117,00";"117,00";"1960";"92,00";"92,00";"Feminino";"2,00";"2,00";"X";"X"
"9233";"Mesorregião (2010)";"4110";"Metropolitana de Curitiba";"1";"2010";"8030";"31/07/2010";"1985";"117,00";"117,00";"1962";"94,00";"94,00";"Feminino";"2,00";"2,00";"X";"X"
"9233";"Mesorregião (2010)";"4110";"Metropolitana de Curitiba";"1";"2010";"8030";"31/07/2010";"1986";"118,00";"118,00";"1967";"99,00";"99,00";"Masculino";"1,00";"1,00";"X";"X"
"9233";"Mesorregião (2010)";"4110";"Metropolitana de Curitiba";"1";"2010";"8030";"31/07/2010";"1986";"118,00";"118,00";"1969";"101,00";"101,00";"Feminino";"2,00";"2,00";"X";"X"
"9233";"Mesorregião (2010)";"4110";"Metropolitana de Curitiba";"1";"2010";"8030";"31/07/2010";"1987";"119,00";"119,00";"1957";"89,00";"89,00";"Feminino";"2,00";"2,00";"X";"X"
"9233";"Mesorregião (2010)";"4110";"Metropolitana de Curitiba";"1";"2010";"8030";"31/07/2010";"1987";"119,00";"119,00";"1966";"98,00";"98,00";"Masculino";"1,00";"1,00";"X";"X"
"9233";"Mesorregião (2010)";"4110";"Metropolitana de Curitiba";"1";"2010";"8030";"31/07/2010";"1988";"120,00";"120,00";"1964";"96,00";"96,00";"Masculino";"1,00";"1,00";"X";"X"
"9233";"Mesorregião (2010)";"4110";"Metropolitana de Curitiba";"1";"2010";"8030";"31/07/2010";"1988";"120,00";"120,00";"1968";"100,00";"100,00";"Masculino";"1,00";"1,00";"X";"X"
"9233";"Mesorregião (2010)";"4110";"Metropolitana de Curitiba";"1";"2010";"8030";"31/07/2010";"1988";"120,00";"120,00";"1969";"101,00";"101,00";"Masculino";"1,00";"1,00";"X";"X"
