 Mortalidade - Brasil
Óbitos p/Residênc por Faixa Etária e Ano do Óbito
Região Metropolitana - RIDE: 41010 Curitiba - PR
Sexo: Fem
Período:1996-2021
"Faixa Etária";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"Menor 1 ano";512;425;493;449;460;400;365;326;302;290;239;241;262;238;253;245;239;236;219;221;220;206;181;187;147;139;7495
"1 a 4 anos";88;99;104;62;66;75;58;75;46;67;47;47;37;39;26;32;38;34;35;33;37;31;26;35;17;19;1273
"5 a 9 anos";46;45;53;43;42;30;35;37;34;35;31;23;33;17;25;16;20;16;15;29;19;24;12;18;9;14;721
"10 a 14 anos";58;26;44;40;37;24;45;36;29;34;45;35;39;34;26;28;31;33;24;23;19;21;18;19;21;24;813
"15 a 19 anos";72;90;95;59;73;67;74;75;72;79;79;65;85;81;92;66;69;76;58;42;52;73;37;41;43;51;1766
"20 a 29 anos";215;205;198;204;188;187;173;174;205;189;209;202;187;232;194;187;168;135;173;165;149;128;134;145;177;250;4773
"30 a 39 anos";277;330;316;330;306;285;298;297;318;289;306;280;278;284;291;267;315;297;262;268;286;270;267;259;290;494;7760
"40 a 49 anos";491;513;596;503;522;503;534;546;491;508;519;495;547;571;547;586;527;576;492;537;515;513;492;495;579;1064;14262
"50 a 59 anos";717;713;769;810;801;804;876;807;884;838;848;854;929;922;892;945;939;974;883;970;969;956;936;943;1113;1982;24074
"60 a 69 anos";1235;1223;1204;1227;1215;1196;1207;1219;1250;1199;1263;1186;1332;1284;1382;1372;1342;1386;1408;1390;1510;1529;1580;1506;1963;2842;36450
"70 a 79 anos";1385;1337;1415;1500;1557;1533;1598;1612;1693;1679;1711;1724;1784;1706;1850;1787;1850;1936;1853;1876;2009;1935;2069;1974;2443;3302;47118
"80 anos e mais";1346;1380;1389;1406;1483;1526;1634;1761;1882;1723;2020;2056;2198;2264;2507;2564;2641;2895;2935;3036;3325;3286;3487;3537;3872;4661;62814
"Idade ignorada";24;19;21;19;8;2;2;2;8;11;6;3;3;1;-;5;4;1;1;5;-;1;-;1;3;-;150
"Total";6466;6405;6697;6652;6758;6632;6899;6967;7214;6941;7323;7211;7714;7673;8085;8100;8183;8595;8358;8595;9110;8973;9239;9160;10677;14842;209469
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
