Faixa Etária;Sexo;1996;2000;2010;2022
Menor 1 ano;Mulheres;24127;25789;21664;22722
1 a 4 anos;Mulheres;94310;102495;88000;96868
5 a 9 anos;Mulheres;119490;127219;114907;117868
10 a 14 anos;Mulheres;125912;128334;133976;114922
15 a 19 anos;Mulheres;130233;139027;136653;123448
20 a 29 anos;Mulheres;241729;268206;295686;281189
30 a 39 anos;Mulheres;212766;237515;273849;280637
40 a 49 anos;Mulheres;147505;179493;235034;267790
50 a 59 anos;Mulheres;87484;108986;174535;223819
60 a 69 anos;Mulheres;57965;66851;100513;166719
70 a 79 anos;Mulheres;28314;37084;54159;92599
80 anos e mais;Mulheres;10177;13581;25646;46127
Menor 1 ano;Homens;25289;27001;23357;23839
1 a 4 anos;Homens;98753;106871;90467;101628
5 a 9 anos;Homens;123873;133090;119374;123253
10 a 14 anos;Homens;128905;131947;139213;119212
15 a 19 anos;Homens;128319;139019;139069;128200
20 a 29 anos;Homens;237955;265529;291534;288490
30 a 39 anos;Homens;196763;223453;264132;270358
40 a 49 anos;Homens;138429;163968;214194;248253
50 a 59 anos;Homens;80583;98381;152041;196435
60 a 69 anos;Homens;48106;55241;83999;133034
70 a 79 anos;Homens;21126;26761;38374;66936
80 anos e mais;Homens;5975;7556;13456;25020
