 Mortalidade - Brasil
Óbitos p/Residênc por Faixa Etária e Ano do Óbito
Região Metropolitana - RIDE: 41010 Curitiba - PR
Período:1996-2021
"Faixa Etária";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"Menor 1 ano";1241;1064;1141;1009;1003;892;809;754;666;642;568;551;597;535;569;536;552;501;503;512;477;449;433;394;346;334;17078
"1 a 4 anos";186;201;205;154;165;162;130;146;125;122;111;107;82;90;66;80;84;81;66;65;79;68;75;80;42;48;2820
"5 a 9 anos";109;105;102;93;109;70;95;96;70;90;69;51;69;53;58;42;43;45;37;52;40;44;28;36;27;33;1666
"10 a 14 anos";148;104;98;95;95;91;104;90;83;95;115;109;105;89;85;86;83;93;68;57;59;49;49;43;48;52;2193
"15 a 19 anos";295;314;319;292;367;304;353;371;406;471;415;468;479;490;486;439;389;395;368;333;352;291;238;239;202;200;9276
"20 a 29 anos";926;935;833;904;866;917;936;988;1044;1102;1122;1119;1200;1328;1231;1149;1082;945;990;973;962;815;791;741;831;1013;25743
"30 a 39 anos";1123;1173;1110;1071;1060;1057;1031;1061;1145;1103;1149;1079;1135;1191;1170;1179;1180;1155;1109;992;1038;990;952;872;1079;1648;28852
"40 a 49 anos";1429;1461;1606;1484;1550;1451;1527;1611;1584;1568;1562;1553;1666;1741;1643;1763;1551;1628;1523;1536;1520;1394;1418;1357;1633;2916;41675
"50 a 59 anos";1893;1852;2005;2067;2040;2023;2152;2183;2308;2192;2323;2270;2464;2408;2520;2542;2468;2527;2418;2567;2590;2462;2487;2461;3074;5190;63486
"60 a 69 anos";2783;2847;2814;2927;2855;2829;2859;2875;2949;2816;2893;2925;3174;3070;3181;3215;3207;3379;3366;3426;3698;3586;3753;3789;4865;6651;86732
"70 a 79 anos";2883;2769;3024;3084;3252;3175;3312;3477;3519;3406;3596;3681;3692;3704;3784;3781;3793;4050;3881;4004;4306;4041;4334;4357;5459;7160;99524
"80 anos e mais";2247;2324;2412;2399;2553;2625;2783;3046;3257;3047;3360;3455;3755;3880;4180;4385;4446;4733;4898;5017;5566;5554;5814;5971;6699;8047;106453
"Idade ignorada";115;79;157;107;51;5;17;54;78;124;56;33;11;7;8;13;12;7;8;15;2;8;7;4;9;17;1004
"Total";15378;15228;15826;15686;15966;15601;16108;16752;17234;16778;17339;17401;18429;18586;18981;19210;18890;19539;19235;19549;20689;19751;20379;20344;24314;33309;486502
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
