Sexo;Faixa Etária;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Feminino;Menor 1 ano;24127;24532;24944;25363;25789;25343;24905;24475;24052;23636;23228;22826;22432;22044;21664;21347;21035;20728;20425;20127;19833;19543;19257;18976;18699;18426;18157
Feminino;1 a 4 anos;94310;96292;98317;100384;102495;100944;99416;97912;96430;94971;93534;92118;90724;89352;88000;87374;86753;86137;85525;84917;84313;83714;83119;82529;81942;81360;80782
Feminino;5 a 9 anos;119490;121377;123293;125241;127219;125930;124655;123392;122143;120906;119681;118469;117270;116082;114907;114839;114772;114704;114637;114570;114503;114436;114369;114301;114234;114167;114101
Feminino;10 a 14 anos;125912;126513;127117;127724;128334;128887;129443;130001;130561;131124;131690;132257;132828;133400;133976;132046;130143;128269;126421;124600;122805;121036;119292;117574;115880;114211;112566
Feminino;15 a 19 anos;130233;132377;134558;136774;139027;138787;138548;138310;138072;137834;137597;137360;137124;136888;136653;134770;132913;131082;129276;127495;125739;124006;122298;120613;118951;117313;115697
Feminino;20 a 29 anos;241729;248092;254623;261326;268206;270834;273489;276170;278877;281611;284371;287158;289973;292815;295686;294220;292762;291311;289867;288430;287001;285579;284163;282755;281353;279959;278572
Feminino;30 a 39 anos;212766;218700;224800;231070;237515;240920;244374;247877;251431;255035;258692;262400;266162;269978;273849;275458;277077;278705;280344;281991;283649;285316;286993;288679;290376;292083;293800
Feminino;40 a 49 anos;147505;154923;162714;170898;179493;184397;189436;194613;199931;205394;211007;216773;222696;228782;235034;238626;242274;245978;249738;253556;257432;261367;265362;269419;273538;277719;281965
Feminino;50 a 59 anos;87484;92424;97644;103159;108986;114240;119749;125523;131575;137919;144569;151540;158847;166506;174535;178874;183322;187880;192551;197339;202245;207274;212427;217709;223122;228670;234356
Feminino;60 a 69 anos;57965;60069;62249;64509;66851;69633;72532;75551;78696;81971;85384;88938;92640;96496;100513;105251;110213;115410;120851;126548;132514;138762;145304;152155;159328;166840;174706
Feminino;70 a 79 anos;28314;30289;32403;34664;37084;38515;40002;41546;43149;44815;46545;48342;50208;52146;54159;56684;59327;62093;64989;68019;71191;74510;77985;81621;85427;89410;93580
Feminino;80 anos e mais;10177;10938;11756;12635;13581;14472;15422;16434;17513;18662;19887;21193;22584;24066;25646;26824;28057;29346;30695;32105;33580;35124;36738;38426;40192;42039;43971
Masculino;Menor 1 ano;25289;25706;26130;26562;27001;26612;26229;25851;25479;25112;24751;24395;24044;23698;23357;22906;22464;22031;21606;21189;20780;20379;19986;19600;19222;18851;18488
Masculino;1 a 4 anos;98753;100722;102731;104780;106871;105104;103367;101659;99979;98327;96702;95104;93532;91987;90467;89877;89292;88710;88132;87558;86988;86422;85859;85299;84744;84192;83644
Masculino;5 a 9 anos;123873;126115;128398;130723;133090;131650;130226;128817;127423;126045;124682;123333;121999;120679;119374;119345;119316;119287;119259;119230;119201;119173;119144;119115;119087;119058;119030
Masculino;10 a 14 anos;128905;129658;130417;131179;131947;132656;133369;134086;134806;135531;136259;136992;137728;138468;139213;137259;135332;133433;131561;129714;127894;126099;124329;122584;120864;119168;117496
Masculino;15 a 19 anos;128319;130914;133561;136263;139019;139023;139028;139033;139038;139043;139048;139053;139058;139063;139069;137260;135475;133713;131974;130257;128563;126891;125241;123612;122004;120418;118852
Masculino;20 a 29 anos;237955;244567;251364;258349;265529;268021;270537;273077;275640;278227;280839;283475;286136;288822;291534;290455;289380;288309;287242;286179;285120;284065;283014;281966;280923;279883;278848
Masculino;30 a 39 anos;196763;203120;209683;216458;223453;227221;231053;234950;238913;242942;247039;251206;255443;259751;264132;265442;266758;268081;269411;270747;272090;273440;274796;276159;277529;278905;280289
Masculino;40 a 49 anos;138429;144414;150658;157172;163968;168408;172969;177653;182464;187405;192481;197693;203047;208546;214194;217795;221457;225180;228966;232816;236730;240711;244758;248873;253057;257312;261639
Masculino;50 a 59 anos;80583;84705;89038;93593;98381;102758;107330;112105;117093;122302;127744;133427;139364;145564;152041;155909;159876;163945;168116;172394;176781;181279;185892;190622;195472;200446;205547
Masculino;60 a 69 anos;48106;49798;51550;53363;55241;57605;60070;62641;65323;68118;71034;74074;77245;80551;83999;87658;91476;95462;99620;103960;108489;113215;118147;123294;128665;134270;140120
Masculino;70 a 79 anos;21126;22412;23777;25224;26761;27743;28761;29816;30911;32045;33221;34441;35705;37015;38374;40309;42342;44478;46721;49078;51553;54153;56885;59754;62768;65934;69260
Masculino;80 anos e mais;5975;6336;6719;7125;7556;8004;8480;8984;9517;10083;10682;11316;11989;12701;13456;14158;14898;15677;16496;17357;18264;19218;20223;21279;22391;23561;24792
