Municípios;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Adrianópolis;7339;7383;7427;7472;7518;7475;7433;7391;7350;7309;7268;7227;7186;7146;7106;7030;6956;6883;6810;6738;6667;6597;6527;6458;6390;6322;6256
Agudos do Sul;6443;6965;7531;8142;8803;8725;8648;8572;8496;8421;8347;8273;8200;8128;8057;8219;8384;8553;8725;8900;9080;9262;9449;9639;9833;10031;10233
Almirante Tamandaré;89410;93115;96975;100994;105181;105241;105301;105362;105422;105483;105544;105604;105665;105726;105787;106891;108006;109134;110273;111424;112587;113762;114950;116149;117362;118587;119825
Araucária;76684;85237;94745;105313;117060;116891;116723;116554;116387;116219;116052;115884;115718;115551;115385;118044;120764;123547;126394;129307;132287;135336;138454;141645;144910;148249;151666
Balsa Nova;8745;9424;10157;10947;11799;11760;11723;11685;11647;11609;11572;11535;11498;11460;11424;11576;11731;11887;12046;12207;12370;12535;12702;12872;13044;13218;13395
Bocaiúva do Sul;8583;9188;9836;10530;11273;11207;11143;11078;11014;10950;10887;10824;10762;10699;10638;10836;11038;11244;11454;11668;11886;12108;12334;12564;12798;13037;13281
Campina Grande do Sul;31444;33474;35635;37935;40385;40352;40320;40287;40255;40223;40190;40158;40126;40094;40062;40655;41258;41870;42490;43120;43759;44408;45066;45734;46412;47100;47799
Campo do Tenente;5722;6161;6634;7143;7692;7637;7584;7530;7477;7425;7373;7321;7269;7218;7168;7195;7223;7251;7279;7307;7336;7364;7392;7421;7450;7479;7508
Campo Largo;82972;89169;95829;102986;110679;110733;110788;110842;110897;110952;111006;111061;111116;111171;111226;113128;115062;117030;119032;121068;123138;125244;127386;129565;131780;134034;136327
Campo Magro;0;0;0;0;25073;25012;24951;24890;24830;24770;24710;24650;24590;24530;24471;24881;25299;25723;26155;26593;27040;27493;27955;28424;28901;29385;29879
Cerro Azul;17107;17533;17971;18419;18879;18751;18625;18499;18374;18250;18127;18005;17883;17762;17643;17512;17382;17253;17124;16997;16871;16746;16622;16498;16376;16254;16134
Colombo;153698;167187;181860;197821;215183;215514;215847;216180;216514;216848;217182;217517;217853;218189;218526;219622;220724;221832;222945;224064;225189;226319;227455;228596;229744;230897;232056
Contenda;12332;13172;14069;15028;16052;16003;15955;15907;15859;15811;15764;15716;15669;15622;15575;15844;16117;16396;16679;16967;17260;17558;17861;18170;18484;18803;19128
Curitiba;1476253;1532998;1591925;1653117;1716661;1730405;1744259;1758224;1772301;1786491;1800794;1815212;1829745;1844395;1859162;1851888;1844643;1837426;1830238;1823077;1815945;1808840;1801764;1794715;1787693;1780699;1773733
Doutor Ulysses;5662;5916;6183;6461;6752;6691;6631;6572;6513;6455;6397;6340;6283;6227;6172;6130;6090;6049;6009;5969;5929;5890;5851;5812;5773;5735;5697
Fazenda Rio Grande;45299;52222;60203;69405;80013;79959;79905;79851;79798;79744;79690;79637;79583;79530;79477;83744;88241;92979;97971;103231;108774;114615;120769;127254;134087;141286;148873
Itaperuçu;17603;19039;20593;22274;24093;24054;24016;23978;23940;23902;23864;23827;23789;23751;23714;24263;24825;25401;25989;26591;27208;27838;28483;29143;29819;30510;31217
Lapa;39967;41727;43565;45484;47488;47384;47281;47177;47074;46972;46869;46767;46665;46563;46462;46338;46215;46092;45970;45848;45726;45605;45484;45363;45242;45122;45003
Mandirituba;15218;16711;18350;20150;22128;22043;21960;21876;21793;21711;21628;21546;21464;21383;21302;21755;22219;22692;23176;23670;24174;24689;25215;25752;26301;26861;27434
Piên;8771;9445;10172;10955;11798;11737;11676;11615;11555;11496;11436;11377;11318;11260;11202;11388;11577;11770;11966;12165;12367;12573;12782;12995;13211;13431;13655
Pinhais;89335;95619;102345;109545;117251;117689;118130;118572;119016;119461;119908;120357;120808;121260;121714;122147;122582;123019;123457;123896;124338;124781;125225;125671;126119;126568;127019
Piraquara;52486;60778;70382;81502;94380;93758;93140;92526;91917;91311;90710;90112;89518;88928;88343;90546;92804;95119;97491;99923;102415;104970;107588;110271;113021;115840;118730
Quatro Barras;13901;15174;16564;18081;19738;19714;19690;19666;19643;19619;19596;19572;19548;19525;19502;19855;20215;20581;20954;21333;21720;22113;22514;22922;23337;23760;24191
Quitandinha;14058;14986;15976;17031;18156;18018;17881;17745;17610;17476;17344;17212;17081;16951;16823;16948;17075;17203;17332;17462;17592;17724;17857;17990;18125;18261;18398
Rio Branco do Sul;23212;25477;27964;30694;33690;33531;33373;33215;33059;32903;32748;32593;32440;32287;32135;32555;32981;33412;33849;34292;34740;35195;35655;36121;36594;37073;37558
Rio Negro;27824;28904;30027;31193;32405;32423;32442;32461;32480;32499;32518;32537;32556;32575;32595;32487;32379;32272;32165;32059;31953;31847;31742;31637;31532;31427;31324
São José dos Pinhais;169035;187246;207420;229767;254522;254701;254880;255060;255239;255419;255599;255779;255959;256139;256320;261722;267239;272872;278623;284496;290492;296615;302868;309251;315770;322425;329222
Tijucas do Sul;11559;12391;13284;14241;15268;15134;15001;14870;14739;14610;14482;14355;14230;14105;13982;14253;14529;14811;15098;15391;15689;15993;16304;16620;16942;17271;17606
Tunas do Paraná;3426;3909;4461;5091;5810;5743;5677;5612;5548;5484;5421;5359;5297;5237;5177;5256;5337;5419;5503;5588;5674;5761;5850;5940;6031;6124;6219
